Descrição,Valor,Data Vencimento,Categoria,Tipo,Cartão,Natureza
"Sem parar",50,2025-08-09,Pedágio,Carro,Smiles,Avulsa
"Entrada Carro",457.87,2026-05-09,Financiamento,Carro,Smiles,Parcelada
"Entrada Carro",457.87,2025-09-09,Financiamento,Carro,Smiles,Parcelada
"Mercado Livre",161.52,2025-08-05,Mercado Livre,Compras,BB infinite,Avulsa
"Link",458.07,2025-11-15,Contas,Compras,Azul Platinum,Parcelada
"Emprestimo consignado",904.49,2026-02-07,Emprestimo,Emprestimo,,Parcelada
"Entrada Carro",457.87,2025-11-09,Financiamento,Carro,Smiles,Parcelada
"Link",458.07,2025-10-15,Contas,Compras,Azul Platinum,Parcelada
"Padaria",5.5,2025-08-09,Padaria,Alimentação,Smiles,Avulsa
"Iphone",549.9,2025-10-09,Celular,Compras,Smiles,Parcelada
"Anuidade Smiles",110,2025-09-09,Anuidade,Anuidade,Smiles,Parcelada
"Anuidade Azul Platinum",31,2025-09-15,Anuidade,Anuidade,Azul Platinum,Parcelada
